time,bid_price,bid_size,ask_price,ask_size
1780792168482,60767.0,2.14437,60768.0,2.47041
1780792169022,60767.0,2.14437,60768.0,2.47022
1780792169369,60767.0,2.14437,60768.0,2.46982
1780792169902,60767.0,2.14437,60768.0,0.99813
1780792170037,60767.0,2.14402,60768.0,0.99813
1780792170605,60767.0,2.14402,60768.0,2.44159
1780792170807,60767.0,2.14382,60768.0,2.44159
1780792171345,60767.0,2.14382,60768.0,2.42051
1780792171746,60767.0,2.14382,60768.0,2.45635
1780792171815,60767.0,2.14382,60768.0,2.45652
1780792172014,60767.0,2.14359,60768.0,2.45652
1780792172552,60764.0,2.17821,60768.0,2.45652
1780792172820,60764.0,2.21416,60768.0,2.45652
1780792172953,60767.0,3.8298,60768.0,2.45652
1780792173075,60767.0,4.30833,60768.0,2.45652
1780792173373,60767.0,2.51736,60768.0,2.37705
1780792173443,60767.0,2.51736,60768.0,2.87073
1780792173911,60767.0,2.02824,60768.0,2.87073
1780792174715,60767.0,2.02824,60768.0,2.37705
1780792174981,60767.0,2.01179,60768.0,2.37705
1780792175655,60767.0,2.01591,60768.0,2.37705
1780792175722,60767.0,2.01591,60768.0,2.87073
1780792175990,60767.0,2.01591,60768.0,2.85428
1780792176463,60767.0,2.01755,60768.0,3.47443
1780792176661,60767.0,2.0011,60768.0,3.47443
1780792176730,60767.0,1.99946,60768.0,3.47443
1780792177064,60767.0,1.38709,60768.0,3.47443
1780792178002,60767.0,1.38709,60768.0,3.47424
1780792178206,60767.0,1.38709,60768.0,2.98056
1780792179908,60767.0,1.38709,60768.0,3.18631
1780792180042,60767.0,1.38709,60768.0,2.98056
1780792180310,60767.0,1.38709,60768.0,3.47424
1780792180464,60767.0,1.38709,60768.0,3.6388
1780792180667,60767.0,0.99205,60768.0,3.6388
1780792180800,60767.0,0.45362,60768.0,3.14512
1780792181001,60767.0,0.45362,60768.0,3.58615
1780792181205,60767.0,0.45362,60768.0,7.73335
1780792181271,60767.0,0.45362,60768.0,7.92267
1780792181415,60767.0,2.434,60768.0,7.71692
1780792181551,60767.0,1.97569,60768.0,7.92264
1780792181618,60767.0,1.86938,60768.0,7.22324
1780792181815,60767.0,1.86938,60768.0,7.71692
1780792181883,60767.0,1.86938,60768.0,7.92267
1780792181950,60767.0,1.8843,60768.0,7.71692
1780792182016,60767.0,1.8843,60768.0,7.92264
1780792182082,60767.0,1.8843,60768.0,7.22324
1780792182150,60767.0,2.46247,60768.0,7.71692
1780792182216,60767.0,2.44755,60768.0,7.71692
1780792182379,60767.0,2.44755,60768.0,7.92267
1780792182446,60767.0,2.44755,60768.0,7.71692
1780792182511,60767.0,2.44755,60768.0,7.92264
1780792182578,60767.0,2.09988,60768.0,7.71692
1780792182699,60767.0,1.99109,60768.0,7.71692
1780792182774,60767.0,1.99109,60768.0,7.22324
1780792183114,60767.0,1.99109,60768.0,7.42899
1780792183181,60767.0,1.99109,60768.0,7.22324
1780792183450,60767.0,2.00056,60768.0,7.22324
1780792183585,60767.0,2.00056,60768.0,7.42899
1780792183652,60767.0,2.00056,60768.0,7.22324
1780792184053,60767.0,2.00056,60768.0,3.02691
1780792184393,60767.0,2.00056,60768.0,3.19147
1780792185223,60767.0,1.99109,60768.0,3.19147
1780792185583,60767.0,2.00167,60768.0,3.19147
1780792185785,60767.0,2.01274,60768.0,3.19147
1780792185918,60767.0,2.00216,60768.0,3.19147
1780792186187,60767.0,1.99109,60768.0,3.68515
1780792186322,60767.0,1.99109,60768.0,3.19147
1780792186534,60767.0,2.00218,60768.0,3.68515
1780792186734,60767.0,2.00218,60768.0,7.63463
1780792187005,60767.0,2.00218,60768.0,3.68358
1780792187206,60767.0,1.99109,60768.0,3.68358
1780792187631,60767.0,2.00071,60768.0,7.63306
1780792187810,60767.0,2.00071,60768.0,3.68358
1780792187898,60767.0,2.00071,60768.0,3.76587
1780792188233,60767.0,2.00071,60768.0,7.71535
1780792188434,60767.0,2.00071,60768.0,3.97162
1780792188503,60767.0,2.00071,60768.0,3.76587
1780792188837,60767.0,2.00071,60768.0,7.71535
1780792188962,60767.0,2.00235,60768.0,3.27219
1780792189038,60767.0,2.00071,60768.0,3.27219
1780792189515,60767.0,1.99109,60768.0,3.27219
1780792189849,60767.0,1.99109,60768.0,7.22167
1780792190118,60767.0,1.99109,60768.0,3.27219
1780792190335,60767.0,44.95064,60778.0,0.02987
1780792190420,60777.0,3.7331,60779.0,0.00017
1780792190507,60778.0,2.46832,60780.0,0.24222
1780792190555,60779.0,0.04364,60780.0,0.24222
1780792190617,60779.0,0.08536,60780.0,0.24197
1780792190685,60779.0,0.08536,60786.0,0.00017
1780792190752,60785.0,0.21297,60786.0,0.00017
1780792190819,60785.0,0.70441,60786.0,0.00017
1780792190896,60785.0,1.19937,60786.0,0.00017
1780792190975,60785.0,1.82157,60790.0,0.02538
1780792191032,60789.0,3.25071,60790.0,0.02538
1780792191108,60789.0,5.43698,60790.0,0.02538
1780792191159,60789.0,7.09921,60790.0,0.02538
1780792191215,60789.0,8.97673,60790.0,0.02538
1780792191283,60789.0,14.52705,60790.0,0.02538
1780792191440,60789.0,26.82288,60790.0,0.00134
1780792191560,60789.0,38.57378,60790.0,0.00134
